SiteName	County	AQI	O3_8hr	WindSpeed	CO_8hr	PM2.5_AVG	PM10_AVG	SO2_AVG
宜蘭	宜蘭縣	31	34	1.4	0.3	7	13	2
宜蘭	宜蘭縣	32	35	1.1	0.3	8	13	2
宜蘭	宜蘭縣	33	36	1.5	0.3	7	12	2
宜蘭	宜蘭縣	33	36	1.3	0.2	6	11	2
宜蘭	宜蘭縣	34	37	1.4	0.2	6	12	2
宜蘭	宜蘭縣	34	37	0.9	0.2	5	11	2
宜蘭	宜蘭縣	33	36	1	0.2	5	11	2
宜蘭	宜蘭縣	33	36	1.1	0.2	5	11	2
宜蘭	宜蘭縣	32	35	0.8	0.2	4	10	2
宜蘭	宜蘭縣	31	34	0.7	0.2	5	10	2
宜蘭	宜蘭縣	31	34	1	0.2	4	10	2
宜蘭	宜蘭縣	32	35	1.1	0.2	4	11	2
宜蘭	宜蘭縣	32	35	0.9	0.2	4	12	2
宜蘭	宜蘭縣	33	36	1.1	0.2	4	13	2
宜蘭	宜蘭縣	33	36	1.6	0.2	4	12	2
宜蘭	宜蘭縣	33	36	0.8	0.2	5	12	2
宜蘭	宜蘭縣	33	36	1.3	0.2	5	12	2
宜蘭	宜蘭縣	34	37	1	0.2	5	12	2
宜蘭	宜蘭縣	33	36	1	0.2	5	12	2
宜蘭	宜蘭縣	33	36	1	0.3	4	10	2
宜蘭	宜蘭縣	33	36	1.1	0.3	4	9	2
宜蘭	宜蘭縣	33	36	0.9	0.3	4	9	2
宜蘭	宜蘭縣	32	35	1.3	0.3	3	8	2
宜蘭	宜蘭縣	32	35	1	0.3	3	8	2
花蓮	花蓮縣	30	32	1.1	0.4	4	13	2
花蓮	花蓮縣	28	30	1.8	0.4	4	13	2
花蓮	花蓮縣	26	28	1.4	0.4	6	15	2
花蓮	花蓮縣	24	26	1.4	0.4	6	14	2
花蓮	花蓮縣	22	24	1.4	0.3	5	14	2
花蓮	花蓮縣	20	22	1.6	0.3	5	14	2
花蓮	花蓮縣	19	20	1.7	0.3	5	13	2
花蓮	花蓮縣	17	18	1	0.3	5	13	2
花蓮	花蓮縣	16	17	1	0.3	5	14	2
花蓮	花蓮縣	18	16	1	0.3	6	14	1
花蓮	花蓮縣	18	16	0.4	0.3	6	14	1
花蓮	花蓮縣	17	17	2.4	0.3	5	14	1
花蓮	花蓮縣	19	20	2.3	0.3	5	12	1
花蓮	花蓮縣	21	23	2.3	0.3	4	11	1
花蓮	花蓮縣	25	27	2.2	0.3	3	10	1
花蓮	花蓮縣	28	30	2.4	0.3	3	10	1
花蓮	花蓮縣	31	34	1.9	0.3	3	10	1
花蓮	花蓮縣	33	36	2.4	0.3	2	9	1
花蓮	花蓮縣	36	39	2.6	0.2	2	8	1
花蓮	花蓮縣	37	40	2.2	0.2	2	8	1
花蓮	花蓮縣	36	39	1.7	0.2	2	7	1
花蓮	花蓮縣	36	39	0.6	0.3	2	6	1
花蓮	花蓮縣	35	38	2.6	0.3	2	6	1
花蓮	花蓮縣	34	37	1.3	0.3	2	6	1
竹山	南投縣	42	17	1.1	0.5	13	27	2
竹山	南投縣	44	14	1	0.5	14	26	2
竹山	南投縣	44	13	1.1	0.5	14	26	2
竹山	南投縣	44	12	1.7	0.5	13	26	2
竹山	南投縣	44	12	1.4	0.5	14	26	2
竹山	南投縣	43	12	0.7	0.5	13	26	2
竹山	南投縣	44	11	0.8	0.4	14	27	2
竹山	南投縣	45	11	0.8	0.4	14	26	2
竹山	南投縣	44	10	0.9	0.4	13	25	2
竹山	南投縣	46	10	0.7	0.4	14	25	2
竹山	南投縣	49	10	0.8	0.4	15	25	2
竹山	南投縣	51	10	1	0.4	16	25	2
竹山	南投縣	52	10	1.5	0.4	16	27	1
竹山	南投縣	54	12	1.4	0.4	17	29	1
竹山	南投縣	56	16	1.4	0.4	17	31	1
竹山	南投縣	59	21	1.8	0.4	19	33	1
竹山	南投縣	59	25	1.1	0.4	19	32	1
竹山	南投縣	60	29	1.5	0.4	19	33	1
竹山	南投縣	58	32	0.8	0.4	18	32	1
竹山	南投縣	59	31	1.4	0.4	19	33	1
竹山	南投縣	62	31	0.9	0.4	20	34	1
竹山	南投縣	62	28	1	0.4	20	35	1
竹山	南投縣	62	23	0.8	0.4	20	35	1
竹山	南投縣	61	18	0.5	0.4	19	35	1
埔里	南投縣	35	15	0.9	0.5	11	16	2
埔里	南投縣	44	13	0.6	0.5	14	19	2
埔里	南投縣	45	12	0.6	0.5	14	20	2
埔里	南投縣	47	11	0.7	0.5	15	21	2
埔里	南投縣	51	11	1	0.5	16	23	2
埔里	南投縣	52	12	0.6	0.5	16	24	2
埔里	南投縣	55	12	0.5	0.5	17	26	2
埔里	南投縣	56	12	1.1	0.5	18	26	2
埔里	南投縣	55	12	0.8	0.5	17	26	2
埔里	南投縣	51	13	0.9	0.5	16	25	2
埔里	南投縣	47	15	0.8	0.4	14	23	2
埔里	南投縣	44	18	2.6	0.4	14	21	2
埔里	南投縣	40	20	2.3	0.4	12	19	2
埔里	南投縣	36	23	2.5	0.4	11	17	2
埔里	南投縣	32	27	1.5	0.4	10	15	2
埔里	南投縣	28	30	2.9	0.4	9	13	2
埔里	南投縣	31	34	3.2	0.3	9	12	2
埔里	南投縣	34	37	3.4	0.3	9	14	2
埔里	南投縣	35	38	2.3	0.3	10	14	2
埔里	南投縣	35	38	1	0.3	10	16	2
埔里	南投縣	35	35	1.4	0.4	11	18	2
埔里	南投縣	39	32	0.7	0.4	12	19	2
埔里	南投縣	43	28	1.4	0.4	13	19	2
埔里	南投縣	46	23	1.3	0.4	14	20	2
屏東	屏東縣	70	19	1.5	0.6	23	52	1
屏東	屏東縣	68	18	1.5	0.6	23	51	1
屏東	屏東縣	88	16	1.2	0.6	31	58	1
屏東	屏東縣	85	15	1.5	0.6	29	56	1
屏東	屏東縣	84	14	0.8	0.5	29	54	1
屏東	屏東縣	82	13	1.4	0.5	28	53	1
屏東	屏東縣	67	12	1.1	0.5	22	47	2
屏東	屏東縣	67	10	1	0.5	22	46	2
屏東	屏東縣	68	10	1.3	0.5	22	47	2
屏東	屏東縣	69	10	1	0.5	23	49	2
屏東	屏東縣	71	11	0.9	0.5	24	54	2
屏東	屏東縣	76	13	0.7	0.5	26	61	2
屏東	屏東縣	79	18	1.7	0.5	27	63	2
屏東	屏東縣	78	23	1.2	0.5	27	61	2
屏東	屏東縣	75	30	2.1	0.5	25	56	2
屏東	屏東縣	74	36	1.5	0.5	25	52	2
屏東	屏東縣	72	42	0.5	0.5	24	51	2
屏東	屏東縣	71	48	2.7	0.5	24	53	2
屏東	屏東縣	72	51	1.2	0.5	24	56	2
屏東	屏東縣	75	52	0.8	0.5	25	57	2
屏東	屏東縣	79	49	1.3	0.5	27	61	2
屏東	屏東縣	86	45	0.5	0.6	30	65	2
屏東	屏東縣	89	40	1.1	0.6	31	65	2
屏東	屏東縣	89	34	1.3	0.7	31	66	2
